------------ Tamaño: 24 -----------
Numero,Resultado,Tiempo,Memoria
9224071,3469,0.0008440017700195312,12976128
5152891,2267,0.0005950927734375,12976128
11611997,2963,0.0005948543548583984,12976128
9024361,2719,0.001626729965209961,12976128
11905279,3557,0.02949810028076172,12976128
11948191,3307,0.0014715194702148438,12976128
9152707,2963,0.0003266334533691406,12976128
15046831,3967,0.0002951622009277344,12976128
12440543,3449,0.003053903579711914,12976128
7202623,2143,0.0015964508056640625,12976128
14797147,4091,0.011089801788330078,12976128
7848161,2099,0.0011851787567138672,12976128
9002699,2693,0.000278472900390625,12976128
7410373,2789,0.001898050308227539,12976128
8816411,2903,0.000640869140625,12976128
8490551,2371,0.0003590583801269531,12976128
9008399,4027,0.005389690399169922,12976128
8231117,2381,0.00029969215393066406,12976128
8899547,4007,0.0002231597900390625,12976128
8317481,2437,0.0019161701202392578,12976128
12123127,3607,0.00044083595275878906,12976128
8277583,2239,0.005385398864746094,12976128
10339159,3391,0.001191854476928711,12976128
13840837,3449,0.017557621002197266,12976128
13872499,3529,0.003041982650756836,12976128
9541621,3517,0.0033676624298095703,12976128
7465807,3181,0.0006372928619384766,12976128
15754441,4091,0.004831075668334961,12976128
8572687,2161,0.0002124309539794922,12976128
6986251,2269,0.0003914833068847656,12976128
9921539,3119,0.00054931640625,12976128
6380399,2707,0.003706216812133789,12976128
12611647,3373,0.011319875717163086,12976128
7221593,2141,0.0010559558868408203,12976128
5664319,2371,0.0013892650604248047,12976128
10207829,3209,0.0015988349914550781,12976128
10397533,2999,0.0014491081237792969,12976128
9620267,3391,0.00024008750915527344,12976128
8841689,2389,0.009400129318237305,12976128
10241573,2927,0.02770233154296875,12976128
4558007,2069,0.0004229545593261719,12976128
12838769,3469,0.06402730941772461,12976128
9600089,3457,0.0026967525482177734,12976128
12168649,3313,0.0016219615936279297,12976128
8043901,2579,0.0016369819641113281,12976128
11341903,3407,0.0008056163787841797,12976128
5678689,2383,0.015589475631713867,12976128
11680741,3571,0.0030736923217773438,12976128
10334603,2621,0.0003685951232910156,12976128
15120439,4057,0.005000591278076172,12976128
11850389,2953,0.005434989929199219,12976128
8840633,3373,0.001451253890991211,12976128
11052229,2803,0.0002617835998535156,12976128
6861563,2207,0.0006296634674072266,12976128
12802841,3659,0.0006461143493652344,12976128
7722433,2411,0.005583286285400391,12976128
11760097,3323,0.30175209045410156,12976128
9029749,3461,0.0065805912017822266,12976128
12744779,3581,0.0017457008361816406,12976128
4909561,2099,0.0007669925689697266,12976128
9676547,2971,0.0016474723815917969,12976128
8247073,2789,0.0018773078918457031,12976128
11308931,3511,0.005288600921630859,12976128
8669809,2137,0.0022521018981933594,12976128
8876389,2689,0.0018651485443115234,12976128
11347361,3583,0.0010879039764404297,12976128
11050433,3191,0.0002675056457519531,12976128
6110417,2693,0.0017235279083251953,12976128
8237563,2473,0.007145881652832031,12976128
12529133,3389,0.0014090538024902344,12976128
11364589,3691,0.00510406494140625,12976128
8353831,3137,0.0038022994995117188,12976128
