------------ Tamaño: 24 -----------
Numero,Resultado,Tiempo,Memoria
9224071,3469,0.0003752708435058594,13631488
5152891,2273,0.0002846717834472656,13631488
11611997,3919,0.012986421585083008,13631488
9024361,3319,0.00029468536376953125,13631488
11905279,3557,0.00044035911560058594,13631488
11948191,3307,0.00017690658569335938,13631488
9152707,3089,0.0008120536804199219,13631488
15046831,3793,0.00029850006103515625,13631488
12440543,3449,0.004807710647583008,13631488
7202623,3361,9.441375732421875e-05,13631488
14797147,3617,0.0003733634948730469,13631488
7848161,3739,0.0003018379211425781,13631488
9002699,3343,0.008551836013793945,13631488
7410373,2789,0.00015425682067871094,13631488
8816411,3037,0.0001418590545654297,13631488
8490551,2371,0.0002467632293701172,13631488
9008399,2237,0.00019669532775878906,13631488
8231117,3457,0.00010514259338378906,13631488
8899547,2221,0.00011539459228515625,13631488
8317481,2437,0.0001010894775390625,13631488
12123127,3361,7.319900378417969e-05,13631488
8277583,3697,7.700920104980469e-05,13631488
10339159,3391,0.0003256797790527344,13631488
13840837,4013,0.0001575946807861328,13631488
13872499,3529,7.843971252441406e-05,13631488
9541621,2713,0.0003261566162109375,13631488
7465807,2347,8.916854858398438e-05,13631488
15754441,3851,7.462501525878906e-05,13631488
8572687,2161,7.319900378417969e-05,13631488
6986251,2269,7.224082946777344e-05,13631488
9921539,3181,0.00014019012451171875,13631488
6380399,2357,0.0001010894775390625,13631488
12611647,3739,0.0002493858337402344,13631488
7221593,2141,0.00029921531677246094,13631488
5664319,2371,0.000202178955078125,13631488
10207829,3181,0.00014019012451171875,13631488
10397533,2999,0.10492134094238281,13631488
9620267,3391,0.00042700767517089844,13631488
8841689,3701,0.00020503997802734375,13631488
10241573,2927,0.00012373924255371094,13631488
4558007,2069,0.00021123886108398438,13631488
12838769,3469,0.00017547607421875,13631488
9600089,3457,0.00010800361633300781,13631488
12168649,3673,0.00010967254638671875,13631488
8043901,2579,0.068603515625,13631488
11341903,3329,0.00012373924255371094,13631488
5678689,2383,0.0037457942962646484,13631488
11680741,3571,0.00010251998901367188,13762560
10334603,3943,0.00028228759765625,13762560
15120439,3727,0.00010824203491210938,13762560
11850389,2953,0.000125885009765625,13762560
8840633,2621,0.0004189014434814453,13762560
11052229,3943,0.0002052783966064453,13762560
6861563,3109,0.00012803077697753906,13762560
12802841,3499,0.00014519691467285156,13762560
