------------ Tamaño: 32 -----------
Numero,Resultado,Tiempo,Memoria
2326706177,39847,0.0017101764678955078,12677120
2098407403,44879,0.08031749725341797,12677120
2595694313,48761,0.00024199485778808594,12677120
1565129603,37507,0.0002257823944091797,12677120
1712915497,37573,0.0004489421844482422,12677120
3509317919,57089,0.0015153884887695312,12677120
3446333393,60661,0.0036678314208984375,12677120
1868829877,40993,0.0002884864807128906,12677120
2610071791,53857,0.0001506805419921875,12677120
2629006447,55351,0.00035691261291503906,12677120
Media del tiempo: 0.008892369270324708
Media de la memoria: 12.08984375
------------ Tamaño: 40 -----------
Numero,Resultado,Tiempo,Memoria
926213359459,1012721,41.55816984176636,12939264
651656533501,--None--,300.00058245658875,12939264
929533740803,974821,0.0017995834350585938,12992512
492914708423,761377,0.00047850608825683594,12992512
460344031729,575903,0.8911969661712646,12992512
527151042829,749711,0.0003337860107421875,12992512
641616399707,662339,0.0005805492401123047,12992512
367888838909,541087,0.00011277198791503906,12992512
629930281889,874693,0.0004069805145263672,12992512
401552602007,620773,0.0011758804321289062,12992512
Media del tiempo: 4.717139429516262
Media de la memoria: 12.38498263888889
------------ Tamaño: 44 -----------
Numero,Resultado,Tiempo,Memoria
7649068005941,3614839,61.67844915390015,12849152
11652686667533,4020773,17.56028437614441,12849152
7928959408477,3646637,0.0011773109436035156,12849152
7219662332587,2289149,54.19472146034241,12849152
11270984023499,3518353,0.013566970825195312,12849152
8843145759047,3012809,206.78760957717896,12849152
6769463417767,2997509,0.7972862720489502,12849152
8455429430081,2228777,0.00019693374633789062,12849152
8194558628651,2759881,0.001998424530029297,12849152
8908522453769,2647157,0.020496129989624023,12849152
Media del tiempo: 34.105578660964966
Media de la memoria: 12.25390625
------------ Tamaño: 48 -----------
Numero,Resultado,Tiempo,Memoria
110374662292987,10599319,7.038119077682495,12849152
160666531265971,13679933,2.6458921432495117,12849152
187292224431751,16636097,69.34506607055664,12849152
145817686389229,10954813,0.6557421684265137,12849152
120685959081833,--None--,300.0253429412842,12849152
88694735235979,8499889,0.06728124618530273,12849152
167604244402849,15860171,50.59092712402344,12849152
133911825431767,13964441,0.09334897994995117,12849152
131150207718763,--None--,300.0023989677429,12849152
73286361392903,--None--,300.0210471153259,12849152
Media del tiempo: 18.633768115724838
Media de la memoria: 12.25390625
------------ Tamaño: 52 -----------
Numero,Resultado,Tiempo,Memoria
2701875072397031,40552601,183.39522790908813,12849152
1687788324089509,41658839,0.6469905376434326,12849152
2388838954481869,53054879,69.09294199943542,12849152
2484305666501851,45565283,217.30644965171814,12849152
1581539099388197,39796441,88.90911626815796,12943360
2618410120243987,39018167,1.2835674285888672,12943360
2568310539189443,59242213,0.06287908554077148,12943360
2085814065167611,53588849,3.2147135734558105,12943360
3527534942542801,65119687,170.5499894618988,12967936
3141090041004211,--None--,300.0004389286041,12967936
Media del tiempo: 81.60687510172527
Media de la memoria: 12.30642361111111
------------ Tamaño: 56 -----------
Numero,Resultado,Tiempo,Memoria
47463284509797019,243216157,0.11886286735534668,12849152
53392335317333731,218846333,12.55554723739624,12849152
46922569202210263,--None--,300.01286125183105,12849152
66572397028900513,257418443,231.48900365829468,12992512
26824064174693593,147567289,1.0536541938781738,12992512
47128800210808937,--None--,300.0255854129791,12992512
50513381559165409,214065931,0.001279592514038086,13004800
67871063209837487,--None--,300.02701783180237,13004800
40842154923927499,--None--,300.0005841255188,13004800
40564533961337927,--None--,300.0185561180115,13004800
Media del tiempo: 49.04366950988769
Media de la memoria: 12.33828125
------------ Tamaño: 60 -----------
Numero,Resultado,Tiempo,Memoria
901088480791020083,844747769,1.2668819427490234,12718080
568819965508386013,--None--,300.0129704475403,12718080
733838565371896861,754330201,0.1432631015777588,12849152
855755423574617887,920820577,197.30904364585876,12976128
619549948132212677,--None--,300.0051124095917,12976128
471981215873535553,--None--,300.0139276981354,12976128
420585517717633783,582751703,282.9090600013733,13000704
509123959069071139,--None--,300.03331756591797,13000704
605265104599522063,783856867,157.72590684890747,12849152
763618151374994897,919522771,78.45530605316162,12849152
Media del tiempo: 119.63491026560466
Media de la memoria: 12.27734375
------------ Tamaño: 64 -----------
Numero,Resultado,Tiempo,Memoria
11670668481377794061,3031661777,0.07570528984069824,12849152
9412866314496356669,3766510441,0.00034880638122558594,12849152
9633541895038029827,3289982329,46.01745247840881,12849152
10738519641632026259,--None--,300.0164895057678,12849152
7623595168764191119,--None--,300.03869438171387,12849152
14331039136822767467,--None--,300.0049238204956,12849152
14953398802534964749,--None--,300.0231726169586,12849152
12557351701163770229,--None--,300.00463008880615,12849152
17295603783688662937,4163610511,1.4469430446624756,13008896
9227319586514486887,--None--,300.0033504962921,13008896
Media del tiempo: 11.885112404823303
Media de la memoria: 12.2919921875
