------------ Tamaño: 8 -----------
p,alpha,beta,resultado,tiempo,memoria
 487, 33, 303,134,0,00020933151245117188,12558336
 239, 7, 184,23,0,00011849403381347656,12558336
Media del tiempo: 0,00016391277313232422
Media de la memoria: 11,9765625
------------ Tamaño: 10 -----------
p,alpha,beta,resultado,tiempo,memoria
 1109, 19, 274,206,0,00013518333435058594,12558336
 587, 3, 253,23,0,00010800361633300781,12558336
Media del tiempo: 0,00012159347534179688
Media de la memoria: 11,9765625
------------ Tamaño: 16 -----------
p,alpha,beta,resultado,tiempo,memoria
 55243, 22, 37205,22484,0,00037097930908203125,12558336
 33967, 12, 5380,973,0,0002391338348388672,12558336
Media del tiempo: 0,0003050565719604492
Media de la memoria: 11,9765625
------------ Tamaño: 24 -----------
p,alpha,beta,resultado,tiempo,memoria
 14005903, 3, 1719661,998765,0,004359006881713867,12824576
 11841217, 7, 10636334,5624083,0,004450082778930664,12713984
Media del tiempo: 0,004404544830322266
Media de la memoria: 12,177734375
------------ Tamaño: 32 -----------
p,alpha,beta,resultado,tiempo,memoria
 3094892893, 2, 1522407915,571229561,0,10873627662658691,18468864
 3326067959, 2, 2511005899,282801713,0,11174845695495605,21049344
 3477400219, 2, 1293026566,973,0,1069936752319336,21311488
Media del tiempo: 0,10982646927149285
Media de la memoria: 18,84375
------------ Tamaño: 40 -----------
p,alpha,beta,resultado,tiempo,memoria
 585690427969, 14, 1522407915,336258436887,2,1495118141174316,109395968
 1014737275411, 2, 395876192038,971113323,2,360557794570923,165494784
 806063375303, 9, 76459730172,683143121,2,413954257965088,155029504
Media del tiempo: 2,308341622551147
Media de la memoria: 62,326171875
------------ Tamaño: 42 -----------
p,alpha,beta,resultado,tiempo,memoria
 4026115085191, 2, 1112211128233,745258067,4,96405291557312,276402176
 3159178655389, 6, 906853386948,2038965816731,5,353679895401001,255983616
Media del tiempo: 5,1588664054870605
Media de la memoria: 253,861328125
------------ Tamaño: 48 -----------
p,alpha,beta,resultado,tiempo,memoria
 157943476947589, 18, 64105273102320,84789793767271,45,34323811531067,1547829248
 151732359124807, 3, 66390011715677,9446777133,39,65466332435608,1559511040
Media del tiempo: 42,498950719833374
Media de la memoria: 1481,6953125
------------ Tamaño: 56 -----------
p,alpha,beta,resultado,tiempo,memoria
